"comuna","cut_comuna","dist_c17","semana","sosp_minsal0326","sosp_minsal0530","obs_cnt"
"Puerto Montt","10101","0000000","18",0,3,8
"Fresia","10104","0000000","18",0,0,1
"Puerto Varas","10109","0000000","18",0,1,11
"Castro","10201","0000000","18",0,1,4
"Osorno","10301","0000000","18",0,2,3
"Puerto Octay","10302","0000000","18",0,2,2
"Iquique","1101","0000000","18",0,0,1
"Coyhaique","11101","0000000","18",0,0,2
"Santiago","13101","0000000","18",0,4,21
"Cerrillos","13102","0000000","18",0,2,6
"Conchalí","13104","0000000","18",0,1,5
"Estación Central","13106","0000000","18",0,0,7
"Huechuraba","13107","0000000","18",0,0,2
"Independencia","13108","0000000","18",0,0,8
"La Cisterna","13109","0000000","18",0,1,6
"La Florida","13110","0000000","18",0,2,11
"La Granja","13111","0000000","18",0,0,4
"La Reina","13113","0000000","18",0,1,9
"Las Condes","13114","0000000","18",0,6,54
"Lo Barnechea","13115","0000000","18",0,0,9
"Macul","13118","0000000","18",0,1,8
"Maipú","13119","0000000","18",1,2,13
"Ñuñoa","13120","0000000","18",0,2,13
"Peñalolén","13122","0000000","18",0,3,15
"Providencia","13123","0000000","18",0,0,32
"Pudahuel","13124","0000000","18",0,0,11
"Quilicura","13125","0000000","18",0,2,3
"Recoleta","13127","0000000","18",0,0,2
"San Joaquín","13129","0000000","18",0,1,3
"San Miguel","13130","0000000","18",2,6,20
"Vitacura","13132","0000000","18",0,2,17
"Puente Alto","13201","0000000","18",0,0,6
"Pirque","13202","0000000","18",0,0,4
"Colina","13301","0000000","18",0,1,1
"Lampa","13302","0000000","18",0,1,3
"San Bernardo","13401","0000000","18",0,2,7
"Buin","13402","0000000","18",0,5,17
"Paine","13404","0000000","18",0,0,3
"Melipilla","13501","0000000","18",0,0,1
"Curacaví","13503","0000000","18",0,0,6
"María Pinto","13504","0000000","18",0,0,1
"Talagante","13601","0000000","18",0,1,6
"Padre Hurtado","13604","0000000","18",0,0,1
"Peñaflor","13605","0000000","18",0,0,5
"Valdivia","14101","0000000","18",0,3,11
"Arica","15101","0000000","18",0,2,11
"Quillón","16107","0000000","18",0,0,6
"Yungay","16109","0000000","18",0,1,4
"Antofagasta","2101","0000000","18",0,1,11
"Calama","2201","0000000","18",0,0,4
"Chañaral","3201","0000000","18",0,0,1
"Huasco","3304","0000000","18",0,1,2
"La Serena","4101","0000000","18",0,0,7
"Coquimbo","4102","0000000","18",0,0,2
"Los Vilos","4203","0000000","18",0,1,7
"Valparaíso","5101","0000000","18",0,3,17
"Concón","5103","0000000","18",0,1,5
"Puchuncaví","5105","0000000","18",0,0,8
"Quintero","5107","0000000","18",0,1,5
"Viña del Mar","5109","0000000","18",1,2,26
"Los Andes","5301","0000000","18",0,0,2
"Calle Larga","5302","0000000","18",0,0,1
"Cabildo","5402","0000000","18",0,0,4
"San Antonio","5601","0000000","18",0,0,3
"Algarrobo","5602","0000000","18",0,0,2
"Santo Domingo","5606","0000000","18",0,2,8
"Olmué","5803","0000000","18",0,0,1
"Villa Alemana","5804","0000000","18",0,0,7
"Rancagua","6101","0000000","18",0,1,11
"Codegua","6102","0000000","18",0,1,4
"Doñihue","6105","0000000","18",0,0,3
"Machalí","6108","0000000","18",0,2,11
"Olivar","6111","0000000","18",0,0,2
"Pichidegua","6113","0000000","18",0,0,3
"Quinta de Tilcoco","6114","0000000","18",0,0,2
"Rengo","6115","0000000","18",0,1,1
"Marchihue","6204","0000000","18",0,0,5
"Santa Cruz","6310","0000000","18",0,1,4
"Talca","7101","0000000","18",0,2,4
"Maule","7105","0000000","18",0,0,2
"Cauquenes","7201","0000000","18",1,3,9
"Curicó","7301","0000000","18",0,1,2
"Rauco","7305","0000000","18",0,0,3
"San Javier","7406","0000000","18",0,1,6
"Concepción","8101","0000000","18",0,0,2
"Chiguayante","8103","0000000","18",0,0,8
"Talcahuano","8110","0000000","18",0,1,2
"Temuco","9101","0000000","18",0,0,5
"Freire","9105","0000000","18",0,1,2
"Pucón","9115","0000000","18",0,1,6
"Villarrica","9120","0000000","18",0,1,2
"Victoria","9211","0000000","18",0,0,1
"Puerto Montt","10101","1010103","18",0,0,2
"Puerto Montt","10101","1010104","18",0,2,6
"Puerto Montt","10101","1010105","18",1,2,3
"Puerto Montt","10101","1010106","18",0,0,4
"Frutillar","10105","1010501","18",0,0,1
"Puerto Varas","10109","1010901","18",0,1,6
"Puerto Varas","10109","1010905","18",0,0,4
"Castro","10201","1020101","18",0,0,1
"Osorno","10301","1030118","18",0,1,4
"Iquique","1101","110105","18",0,1,5
"Iquique","1101","110110","18",0,2,8
"Punta Arenas","12101","1210101","18",0,1,5
"Santiago","13101","1310101","18",0,1,5
"Santiago","13101","1310104","18",0,2,11
"Santiago","13101","1310108","18",0,2,6
"Santiago","13101","1310109","18",0,0,2
"Santiago","13101","1310110","18",0,0,5
"Santiago","13101","1310111","18",0,0,4
"Santiago","13101","1310114","18",0,1,3
"Santiago","13101","1310115","18",0,0,1
"Santiago","13101","1310117","18",0,0,1
"Santiago","13101","1310121","18",0,1,4
"Santiago","13101","1310126","18",0,1,5
"Santiago","13101","1310127","18",0,1,4
"Santiago","13101","1310128","18",0,0,1
"Cerrillos","13102","1310203","18",0,0,2
"Conchalí","13104","1310410","18",0,1,3
"El Bosque","13105","1310505","18",0,0,1
"El Bosque","13105","1310508","18",0,0,1
"El Bosque","13105","1310509","18",0,0,4
"El Bosque","13105","1310510","18",0,0,1
"Estación Central","13106","1310604","18",0,0,1
"Estación Central","13106","1310605","18",0,0,2
"Estación Central","13106","1310608","18",0,0,1
"Estación Central","13106","1310609","18",0,2,6
"Estación Central","13106","1310611","18",0,0,2
"Huechuraba","13107","1310701","18",0,2,8
"Independencia","13108","1310801","18",0,0,2
"Independencia","13108","1310803","18",0,1,7
"Independencia","13108","1310805","18",0,0,5
"Independencia","13108","1310806","18",0,0,1
"La Cisterna","13109","1310906","18",0,0,1
"La Florida","13110","1311003","18",0,1,5
"La Florida","13110","1311004","18",0,1,12
"La Florida","13110","1311006","18",1,2,12
"La Florida","13110","1311007","18",0,0,11
"La Florida","13110","1311008","18",0,1,5
"La Florida","13110","1311010","18",0,0,2
"Santiago","13101","1311021","18",0,0,2
"La Pintana","13112","1311208","18",0,0,6
"La Reina","13113","1311301","18",0,2,14
"La Reina","13113","1311302","18",0,0,7
"La Reina","13113","1311303","18",0,1,4
"La Reina","13113","1311304","18",0,2,17
"La Reina","13113","1311307","18",0,1,2
"Las Condes","13114","1311401","18",0,4,11
"Las Condes","13114","1311402","18",0,0,2
"Las Condes","13114","1311403","18",1,1,10
"Las Condes","13114","1311404","18",0,1,4
"Las Condes","13114","1311405","18",1,2,13
"Las Condes","13114","1311406","18",0,0,5
"Las Condes","13114","1311407","18",0,0,3
"Las Condes","13114","1311408","18",0,2,4
"Las Condes","13114","1311409","18",0,1,16
"Las Condes","13114","1311410","18",1,2,5
"Las Condes","13114","1311411","18",1,2,22
"Las Condes","13114","1311412","18",0,0,1
"Las Condes","13114","1311414","18",0,0,1
"Las Condes","13114","1311415","18",0,0,4
"Las Condes","13114","1311416","18",0,2,12
"Lo Barnechea","13115","1311501","18",0,4,23
"Lo Barnechea","13115","1311502","18",0,0,3
"Lo Barnechea","13115","1311504","18",0,0,1
"Santiago","13101","1311703","18",1,3,14
"Lo Prado","13117","1311705","18",0,1,4
"Macul","13118","1311801","18",0,0,1
"Santiago","13101","1311802","18",0,0,1
"Macul","13118","1311802","18",0,1,4
"Macul","13118","1311803","18",0,0,6
"Macul","13118","1311805","18",0,0,7
"Maipú","13119","1311907","18",0,1,10
"Maipú","13119","1311909","18",0,1,3
"Maipú","13119","1311913","18",0,0,6
"Maipú","13119","1311914","18",0,3,15
"Maipú","13119","1311916","18",0,1,7
"Maipú","13119","1311919","18",1,3,7
"Maipú","13119","1311920","18",0,2,4
"Maipú","13119","1311921","18",0,0,5
"Maipú","13119","1311922","18",0,0,2
"Maipú","13119","1311923","18",0,0,2
"Ñuñoa","13120","1312001","18",0,2,13
"Ñuñoa","13120","1312002","18",0,6,41
"Ñuñoa","13120","1312004","18",0,1,3
"Ñuñoa","13120","1312005","18",0,0,9
"Ñuñoa","13120","1312006","18",0,0,6
"Ñuñoa","13120","1312007","18",0,3,20
"Ñuñoa","13120","1312010","18",0,1,3
"Ñuñoa","13120","1312011","18",0,2,18
"Pedro Aguirre Cerda","13121","1312101","18",0,0,3
"Peñalolén","13122","1312203","18",0,6,28
"Peñalolén","13122","1312205","18",0,0,2
"Peñalolén","13122","1312207","18",0,0,3
"Peñalolén","13122","1312208","18",0,1,3
"Peñalolén","13122","1312209","18",0,0,1
"Peñalolén","13122","1312211","18",0,2,6
"Providencia","13123","1312301","18",0,1,4
"Ñuñoa","13120","1312302","18",0,0,4
"Providencia","13123","1312302","18",0,0,12
"Providencia","13123","1312303","18",0,1,5
"Providencia","13123","1312304","18",0,2,35
"Ñuñoa","13120","1312305","18",0,0,3
"Ñuñoa","13120","1312306","18",0,0,1
"Providencia","13123","1312306","18",0,0,3
"Providencia","13123","1312307","18",0,1,4
"Pudahuel","13124","1312402","18",0,0,1
"Maipú","13119","1312406","18",0,0,4
"Pudahuel","13124","1312406","18",0,0,2
"Pudahuel","13124","1312407","18",0,0,1
"Quilicura","13125","1312501","18",0,0,1
"Quilicura","13125","1312502","18",0,0,1
"Quinta Normal","13126","1312601","18",0,0,5
"Quinta Normal","13126","1312602","18",0,0,1
"Recoleta","13127","1312702","18",0,1,4
"Recoleta","13127","1312711","18",0,1,1
"San Joaquín","13129","1312901","18",0,1,4
"San Miguel","13130","1313001","18",0,0,2
"San Miguel","13130","1313004","18",0,0,4
"San Miguel","13130","1313005","18",0,1,3
"San Miguel","13130","1313007","18",1,2,3
"San Ramón","13131","1313104","18",0,0,1
"Vitacura","13132","1313201","18",0,1,5
"Vitacura","13132","1313202","18",0,3,16
"Vitacura","13132","1313203","18",0,2,10
"Vitacura","13132","1313204","18",0,1,12
"Puente Alto","13201","1320102","18",0,0,3
"Puente Alto","13201","1320103","18",0,0,4
"Puente Alto","13201","1320105","18",0,1,8
"Puente Alto","13201","1320108","18",1,1,1
"Puente Alto","13201","1320110","18",0,0,2
"Puente Alto","13201","1320112","18",0,0,1
"Puente Alto","13201","1320113","18",0,0,8
"Puente Alto","13201","1320115","18",0,0,2
"Puente Alto","13201","1320116","18",0,0,6
"Pirque","13202","1320201","18",0,1,4
"Colina","13301","1330101","18",0,0,2
"Colina","13301","1330102","18",0,5,17
"Colina","13301","1330103","18",0,2,6
"Lampa","13302","1330204","18",0,0,1
"San Bernardo","13401","1340101","18",0,0,3
"San Bernardo","13401","1340106","18",0,1,2
"San Bernardo","13401","1340108","18",0,0,2
"San Bernardo","13401","1340112","18",0,0,6
"Buin","13402","1340201","18",0,0,9
"Buin","13402","1340202","18",0,0,2
"Paine","13404","1340406","18",0,0,4
"Melipilla","13501","1350101","18",0,0,6
"Melipilla","13501","1350102","18",0,2,5
"Curacaví","13503","1350306","18",0,0,3
"María Pinto","13504","1350401","18",0,1,2
"Talagante","13601","1360101","18",0,3,8
"Padre Hurtado","13604","1360401","18",0,0,13
"Padre Hurtado","13604","1360403","18",0,1,4
"Valdivia","14101","1410102","18",0,0,2
"Valdivia","14101","1410103","18",0,0,4
"Valdivia","14101","1410108","18",0,1,6
"Valdivia","14101","1410112","18",0,1,1
"Arica","15101","1510108","18",0,0,4
"Chillán","16101","1610102","18",0,1,6
"Chillán","16101","1610114","18",0,0,2
"Chillán","16101","1610115","18",0,1,7
"Bulnes","16102","1610201","18",0,0,3
"Quillón","16107","1610701","18",0,0,1
"Antofagasta","2101","210101","18",0,0,6
"Antofagasta","2101","210102","18",0,1,3
"Antofagasta","2101","210104","18",0,0,2
"Antofagasta","2101","210105","18",0,0,1
"Antofagasta","2101","210109","18",0,1,7
"Taltal","2104","210401","18",0,0,2
"Calama","2201","220105","18",0,0,1
"Copiapó","3101","310107","18",0,0,1
"Copiapó","3101","310121","18",0,1,3
"Copiapó","3101","310123","18",0,0,1
"La Serena","4101","410102","18",0,0,1
"La Serena","4101","410104","18",0,0,1
"La Serena","4101","410105","18",0,1,1
"La Serena","4101","410106","18",0,1,6
"La Serena","4101","410114","18",0,0,1
"La Serena","4101","410115","18",0,0,1
"Coquimbo","4102","410217","18",0,0,3
"Coquimbo","4102","410218","18",0,0,4
"Salamanca","4204","420401","18",0,0,5
"Valparaíso","5101","510110","18",0,0,1
"Valparaíso","5101","510111","18",0,0,3
"Valparaíso","5101","510125","18",0,1,1
"Valparaíso","5101","510126","18",0,0,1
"Concón","5103","510301","18",0,0,2
"Viña del Mar","5109","510901","18",0,0,1
"Viña del Mar","5109","510904","18",1,1,15
"Viña del Mar","5109","510905","18",0,0,1
"Viña del Mar","5109","510908","18",0,0,2
"Viña del Mar","5109","510909","18",0,2,5
"Viña del Mar","5109","510910","18",0,0,2
"Viña del Mar","5109","510911","18",0,0,3
"Viña del Mar","5109","510912","18",0,0,1
"Viña del Mar","5109","510917","18",0,2,11
"Viña del Mar","5109","510918","18",0,0,2
"Isla de Pascua","5201","520101","18",0,0,1
"Los Andes","5301","530103","18",0,2,3
"Cabildo","5402","540205","18",0,1,3
"Quillota","5501","550105","18",0,1,1
"San Antonio","5601","560101","18",0,0,2
"San Felipe","5701","570101","18",0,0,3
"San Felipe","5701","570102","18",0,1,5
"Putaendo","5705","570501","18",0,1,4
"Quilpué","5801","580108","18",1,1,1
"Quilpué","5801","580109","18",0,0,3
"Quilpué","5801","580112","18",0,0,2
"Villa Alemana","5804","580402","18",0,1,1
"Villa Alemana","5804","580403","18",0,0,5
"Villa Alemana","5804","580404","18",1,1,4
"Villa Alemana","5804","580405","18",0,0,1
"Villa Alemana","5804","580408","18",0,0,3
"Rancagua","6101","610105","18",0,0,5
"Rancagua","6101","610106","18",1,1,4
"Rancagua","6101","610117","18",0,0,4
"Machalí","6108","610802","18",0,0,2
"Rengo","6115","611504","18",0,0,1
"San Fernando","6301","630113","18",0,0,6
"Talca","7101","710103","18",0,0,2
"Talca","7101","710107","18",0,0,3
"Curicó","7301","730110","18",0,3,8
"Curicó","7301","730111","18",0,0,2
"Curicó","7301","730118","18",0,0,1
"Linares","7401","740104","18",0,1,1
"Linares","7401","740106","18",0,0,1
"San Javier","7406","740607","18",0,0,1
"Concepción","8101","810107","18",0,0,2
"Concepción","8101","810110","18",0,0,6
"Concepción","8101","810112","18",0,0,1
"Concepción","8101","810122","18",0,0,1
"Concepción","8101","810128","18",0,0,1
"Chiguayante","8103","810305","18",0,1,4
"Talcahuano","8110","811010","18",0,1,4
"Talcahuano","8110","811012","18",0,1,5
"Talcahuano","8110","811014","18",0,1,3
"Tomé","8111","811102","18",0,2,8
"Hualpén","8112","811201","18",0,0,2
"Lebu","8201","820101","18",0,1,4
"Curanilahue","8205","820509","18",0,0,1
"Los Ángeles","8301","830103","18",0,2,3
"Los Ángeles","8301","830120","18",0,0,1
"Cabrero","8303","830301","18",0,1,2
"Cabrero","8303","830304","18",0,0,5
"Nacimiento","8306","830601","18",0,0,1
"Temuco","9101","910101","18",0,0,4
"Temuco","9101","910105","18",0,0,1
"Temuco","9101","910109","18",0,0,2
"Temuco","9101","910110","18",0,0,5
"Temuco","9101","910111","18",0,0,1
"Temuco","9101","910116","18",0,0,1
"Temuco","9101","910118","18",0,2,6
"Villarrica","9120","912003","18",0,0,1
"Collipulli","9202","920202","18",0,0,2
"Puerto Montt","10101","0000000","19",0,14,94
"Calbuco","10102","0000000","19",0,0,2
"Fresia","10104","0000000","19",0,0,5
"Frutillar","10105","0000000","19",0,1,10
"Llanquihue","10107","0000000","19",1,0,6
"Puerto Varas","10109","0000000","19",0,5,46
"Castro","10201","0000000","19",1,7,34
"Ancud","10202","0000000","19",0,2,14
"Chonchi","10203","0000000","19",0,0,8
"Quellón","10208","0000000","19",0,2,5
"Quemchi","10209","0000000","19",0,1,5
"Quinchao","10210","0000000","19",0,2,9
"Osorno","10301","0000000","19",2,15,60
"Puerto Octay","10302","0000000","19",0,0,1
"Purranque","10303","0000000","19",0,0,2
"San Pablo","10307","0000000","19",0,2,7
"Hualaihué","10403","0000000","19",0,0,6
"Iquique","1101","0000000","19",0,8,49
"Alto Hospicio","1107","0000000","19",1,2,16
"Coyhaique","11101","0000000","19",0,1,11
"Cisnes","11202","0000000","19",0,0,2
"Río Ibáñez","11402","0000000","19",0,1,2
"Punta Arenas","12101","0000000","19",1,5,50
"Primavera","12302","0000000","19",0,0,8
"Natales","12401","0000000","19",0,0,2
"Torres del Paine","12402","0000000","19",0,0,1
"Santiago","13101","0000000","19",4,65,304
"Cerrillos","13102","0000000","19",0,2,11
"Cerro Navia","13103","0000000","19",0,1,12
"Conchalí","13104","0000000","19",0,10,31
"El Bosque","13105","0000000","19",0,2,24
"Estación Central","13106","0000000","19",0,18,90
"Huechuraba","13107","0000000","19",1,6,62
"Independencia","13108","0000000","19",1,3,32
"La Cisterna","13109","0000000","19",0,3,20
"La Florida","13110","0000000","19",6,57,300
"La Granja","13111","0000000","19",1,5,23
"La Pintana","13112","0000000","19",0,1,13
"La Reina","13113","0000000","19",3,31,192
"Las Condes","13114","0000000","19",4,90,590
"Lo Barnechea","13115","0000000","19",2,31,193
"Lo Espejo","13116","0000000","19",0,0,19
"Lo Prado","13117","0000000","19",0,2,10
"Macul","13118","0000000","19",1,24,151
"Maipú","13119","0000000","19",1,18,148
"Ñuñoa","13120","0000000","19",5,64,394
"Pedro Aguirre Cerda","13121","0000000","19",0,8,31
"Peñalolén","13122","0000000","19",5,41,223
"Providencia","13123","0000000","19",3,51,353
"Pudahuel","13124","0000000","19",1,6,61
"Quilicura","13125","0000000","19",0,9,67
"Quinta Normal","13126","0000000","19",2,7,38
"Recoleta","13127","0000000","19",2,17,101
"Renca","13128","0000000","19",0,3,20
"San Joaquín","13129","0000000","19",0,7,32
"San Miguel","13130","0000000","19",3,36,215
"San Ramón","13131","0000000","19",0,2,26
"Vitacura","13132","0000000","19",5,39,237
"Puente Alto","13201","0000000","19",1,26,153
"Pirque","13202","0000000","19",0,6,25
"San José de Maipo","13203","0000000","19",0,5,23
"Colina","13301","0000000","19",3,13,121
"Lampa","13302","0000000","19",0,4,42
"San Bernardo","13401","0000000","19",3,12,67
"Buin","13402","0000000","19",3,19,77
"Calera de Tango","13403","0000000","19",0,0,4
"Paine","13404","0000000","19",0,5,34
"Melipilla","13501","0000000","19",2,3,32
"Curacaví","13503","0000000","19",0,8,32
"María Pinto","13504","0000000","19",1,8,28
"Talagante","13601","0000000","19",0,3,22
"El Monte","13602","0000000","19",0,1,5
"Isla de Maipo","13603","0000000","19",0,1,14
"Padre Hurtado","13604","0000000","19",0,2,18
"Peñaflor","13605","0000000","19",0,5,20
"Pozo Almonte","1401","0000000","19",0,2,7
"Pica","1405","0000000","19",0,0,7
"Valdivia","14101","0000000","19",2,23,129
"Lanco","14103","0000000","19",0,2,3
"Máfil","14105","0000000","19",0,0,2
"Mariquina","14106","0000000","19",0,1,5
"Paillaco","14107","0000000","19",0,0,7
"Panguipulli","14108","0000000","19",0,1,11
"La Unión","14201","0000000","19",0,3,10
"Lago Ranco","14203","0000000","19",0,1,6
"Río Bueno","14204","0000000","19",0,1,8
"Arica","15101","0000000","19",0,7,46
"Chillán","16101","0000000","19",1,16,90
"Bulnes","16102","0000000","19",0,3,21
"Chillán Viejo","16103","0000000","19",0,3,10
"Pemuco","16105","0000000","19",1,1,3
"Pinto","16106","0000000","19",0,1,5
"Quillón","16107","0000000","19",0,0,5
"Yungay","16109","0000000","19",0,3,7
"Coelemu","16203","0000000","19",0,1,3
"Ninhue","16204","0000000","19",0,1,8
"San Carlos","16301","0000000","19",0,4,17
"Coihueco","16302","0000000","19",0,2,10
"Antofagasta","2101","0000000","19",1,16,75
"Mejillones","2102","0000000","19",0,0,4
"Taltal","2104","0000000","19",0,1,7
"Calama","2201","0000000","19",0,0,20
"María Elena","2302","0000000","19",0,0,9
"Copiapó","3101","0000000","19",1,7,40
"Tierra Amarilla","3103","0000000","19",0,0,3
"Chañaral","3201","0000000","19",0,0,3
"Vallenar","3301","0000000","19",0,1,5
"Alto del Carmen","3302","0000000","19",0,0,1
"Huasco","3304","0000000","19",0,0,1
"La Serena","4101","0000000","19",1,13,79
"Coquimbo","4102","0000000","19",0,8,71
"Vicuña","4106","0000000","19",0,0,3
"Illapel","4201","0000000","19",0,0,5
"Canela","4202","0000000","19",0,0,5
"Los Vilos","4203","0000000","19",1,1,13
"Ovalle","4301","0000000","19",0,1,7
"Valparaíso","5101","0000000","19",1,31,161
"Casablanca","5102","0000000","19",0,3,20
"Concón","5103","0000000","19",0,13,72
"Puchuncaví","5105","0000000","19",0,4,26
"Quintero","5107","0000000","19",0,4,20
"Viña del Mar","5109","0000000","19",2,23,173
"Los Andes","5301","0000000","19",1,5,26
"Calle Larga","5302","0000000","19",0,1,9
"Rinconada","5303","0000000","19",0,3,9
"San Esteban","5304","0000000","19",0,2,8
"La Ligua","5401","0000000","19",1,1,2
"Cabildo","5402","0000000","19",0,1,6
"Papudo","5403","0000000","19",0,1,6
"Zapallar","5405","0000000","19",0,0,3
"Quillota","5501","0000000","19",0,1,19
"Hijuelas","5503","0000000","19",1,2,8
"La Cruz","5504","0000000","19",0,3,14
"Nogales","5506","0000000","19",0,0,2
"San Antonio","5601","0000000","19",0,2,20
"Algarrobo","5602","0000000","19",3,8,63
"Cartagena","5603","0000000","19",0,1,4
"El Quisco","5604","0000000","19",0,0,9
"El Tabo","5605","0000000","19",1,2,10
"Santo Domingo","5606","0000000","19",0,5,30
"San Felipe","5701","0000000","19",2,8,23
"Catemu","5702","0000000","19",0,0,2
"Panquehue","5704","0000000","19",0,2,7
"Quilpué","5801","0000000","19",1,10,63
"Limache","5802","0000000","19",1,6,31
"Olmué","5803","0000000","19",1,4,26
"Villa Alemana","5804","0000000","19",0,1,35
"Rancagua","6101","0000000","19",1,12,62
"Codegua","6102","0000000","19",0,1,4
"Coinco","6103","0000000","19",0,0,4
"Coltauco","6104","0000000","19",0,2,18
"Doñihue","6105","0000000","19",0,3,11
"Graneros","6106","0000000","19",0,0,13
"Las Cabras","6107","0000000","19",2,5,29
"Machalí","6108","0000000","19",3,8,69
"Malloa","6109","0000000","19",0,1,5
"Mostazal","6110","0000000","19",0,1,17
"Olivar","6111","0000000","19",0,1,14
"Peumo","6112","0000000","19",0,1,8
"Pichidegua","6113","0000000","19",0,3,14
"Quinta de Tilcoco","6114","0000000","19",0,1,3
"Rengo","6115","0000000","19",0,5,39
"Requínoa","6116","0000000","19",0,1,13
"San Vicente","6117","0000000","19",0,1,17
"Pichilemu","6201","0000000","19",1,4,19
"Litueche","6203","0000000","19",0,0,3
"Marchihue","6204","0000000","19",0,0,8
"Navidad","6205","0000000","19",0,1,6
"San Fernando","6301","0000000","19",2,6,31
"Chépica","6302","0000000","19",0,0,2
"Chimbarongo","6303","0000000","19",0,2,30
"Placilla","6308","0000000","19",0,1,3
"Santa Cruz","6310","0000000","19",1,2,9
"Talca","7101","0000000","19",2,17,84
"Constitución","7102","0000000","19",0,0,5
"Curepto","7103","0000000","19",0,1,7
"Maule","7105","0000000","19",0,6,32
"Pencahue","7107","0000000","19",0,0,4
"Río Claro","7108","0000000","19",0,0,6
"San Clemente","7109","0000000","19",0,0,2
"San Rafael","7110","0000000","19",0,0,2
"Cauquenes","7201","0000000","19",1,2,11
"Curicó","7301","0000000","19",1,7,41
"Hualañé","7302","0000000","19",0,0,8
"Licantén","7303","0000000","19",0,1,2
"Rauco","7305","0000000","19",0,0,2
"Teno","7308","0000000","19",0,1,5
"Vichuquén","7309","0000000","19",0,0,4
"Linares","7401","0000000","19",2,5,23
"Colbún","7402","0000000","19",1,4,11
"Longaví","7403","0000000","19",0,1,6
"Parral","7404","0000000","19",0,0,2
"San Javier","7406","0000000","19",0,0,2
"Villa Alegre","7407","0000000","19",0,0,5
"Yerbas Buenas","7408","0000000","19",0,1,2
"Concepción","8101","0000000","19",0,14,108
"Coronel","8102","0000000","19",0,0,2
"Chiguayante","8103","0000000","19",1,5,33
"Lota","8106","0000000","19",0,1,9
"Penco","8107","0000000","19",0,0,2
"Talcahuano","8110","0000000","19",2,6,43
"Tomé","8111","0000000","19",0,3,19
"Hualpén","8112","0000000","19",0,5,15
"Lebu","8201","0000000","19",2,3,6
"Arauco","8202","0000000","19",0,0,4
"Cañete","8203","0000000","19",0,1,2
"Contulmo","8204","0000000","19",0,1,2
"Los Ángeles","8301","0000000","19",1,9,48
"Antuco","8302","0000000","19",0,2,4
"Cabrero","8303","0000000","19",0,1,6
"Laja","8304","0000000","19",0,2,4
"Mulchén","8305","0000000","19",0,0,2
"Negrete","8307","0000000","19",0,1,7
"Yumbel","8313","0000000","19",0,0,5
"Temuco","9101","0000000","19",5,20,114
"Carahue","9102","0000000","19",0,0,4
"Cunco","9103","0000000","19",0,0,3
"Curarrehue","9104","0000000","19",0,1,5
"Freire","9105","0000000","19",0,2,12
"Loncoche","9109","0000000","19",0,0,1
"Nueva Imperial","9111","0000000","19",0,2,7
"Padre Las Casas","9112","0000000","19",0,4,22
"Perquenco","9113","0000000","19",0,0,4
"Pitrufquén","9114","0000000","19",0,1,7
"Pucón","9115","0000000","19",0,6,39
"Teodoro Schmidt","9117","0000000","19",0,0,6
"Vilcún","9119","0000000","19",0,2,5
"Villarrica","9120","0000000","19",0,3,29
"Angol","9201","0000000","19",0,0,5
"Curacautín","9203","0000000","19",0,2,7
"Traiguén","9210","0000000","19",0,0,2
"Victoria","9211","0000000","19",0,5,12
"Puerto Montt","10101","1010101","19",0,0,5
"Puerto Montt","10101","1010102","19",0,3,30
"Puerto Montt","10101","1010103","19",0,1,27
"Puerto Montt","10101","1010104","19",0,1,5
"Puerto Montt","10101","1010105","19",0,1,7
"Puerto Montt","10101","1010106","19",0,3,20
"Puerto Montt","10101","1010116","19",0,1,3
"Puerto Montt","10101","1010117","19",1,5,22
"Puerto Montt","10101","1010118","19",0,3,24
"Frutillar","10105","1010501","19",0,0,8
"Frutillar","10105","1010503","19",0,2,6
"Llanquihue","10107","1010701","19",0,1,8
"Puerto Varas","10109","1010901","19",0,6,44
"Puerto Varas","10109","1010905","19",0,1,11
"Castro","10201","1020101","19",0,1,14
"Castro","10201","1020102","19",0,3,9
"Ancud","10202","1020202","19",0,1,4
"Chonchi","10203","1020301","19",0,2,10
"Dalcahue","10205","1020501","19",0,1,9
"Queilén","10207","1020701","19",0,1,5
"Osorno","10301","1030101","19",0,6,13
"Osorno","10301","1030103","19",0,1,6
"Osorno","10301","1030104","19",0,4,18
"Osorno","10301","1030105","19",0,1,4
"Osorno","10301","1030106","19",0,3,25
"Osorno","10301","1030108","19",0,0,5
"Osorno","10301","1030109","19",0,2,7
"Osorno","10301","1030114","19",0,1,3
"Osorno","10301","1030118","19",0,0,13
"Purranque","10303","1030301","19",0,0,4
"Purranque","10303","1030304","19",1,1,8
"Iquique","1101","110103","19",1,2,5
"Iquique","1101","110104","19",0,2,7
"Iquique","1101","110105","19",0,5,44
"Iquique","1101","110106","19",0,1,9
"Iquique","1101","110107","19",0,3,10
"Iquique","1101","110108","19",0,1,4
"Iquique","1101","110110","19",0,1,10
"Iquique","1101","110111","19",1,6,40
"Alto Hospicio","1107","110703","19",0,2,6
"Coyhaique","11101","1110101","19",0,3,17
"Coyhaique","11101","1110112","19",0,1,7
"Coyhaique","11101","1110113","19",0,0,17
"Punta Arenas","12101","1210101","19",0,2,29
"Punta Arenas","12101","1210102","19",0,2,14
"Punta Arenas","12101","1210103","19",1,3,14
"Punta Arenas","12101","1210104","19",0,5,20
"Punta Arenas","12101","1210105","19",0,3,18
"Punta Arenas","12101","1210106","19",0,1,2
